撮影日,場所,企画,シーン,カットNo,ショット,画,音・演出,尺,被写体,機材,ステータス
DAY2,向島工房,③工程ASMR 2本目,革包丁（手裁断）,③-2c,ECU / MACRO,[結]切り出されたパーツを持ち上げる,テロップ「革包丁（手裁断）」,3-5秒,完成パーツ,同上,未撮影
DAY2,向島工房,③工程ASMR 3本目,糊付け,③-3a,BIRD / ECU,[起]糊のフタを開ける音,冒頭2秒で音を立てる。BGMなし,0-2秒,職人の手,固定三脚・9:16・ショットガンマイク15cm以内,未撮影
DAY2,向島工房,③工程ASMR 3本目,糊付け,③-3b,BIRD / ECU,[承]ヘラで均一に伸ばす,工程の音だけ,15秒,職人の手,同上（カメラ固定のまま）,未撮影
DAY2,向島工房,③工程ASMR 3本目,糊付け,③-3c,BIRD / ECU,[結]2枚を貼り合わせ圧着,テロップ「糊付け」,3-5秒,完成パーツ,同上,未撮影
DAY2,向島工房,③工程ASMR 4本目,ミシン,③-4a,PROFILE / MACRO,[起]ミシンの空回し音,冒頭2秒で音を立てる。BGMなし,0-2秒,職人の手,固定三脚・9:16・ショットガンマイク15cm以内,未撮影
DAY2,向島工房,③工程ASMR 4本目,ミシン,③-4b,PROFILE / MACRO,[承]針が上下し革が送られる,工程の音だけ,20秒,職人の手,同上（カメラ固定のまま）,未撮影
DAY2,向島工房,③工程ASMR 4本目,ミシン,③-4c,PROFILE / MACRO,[結]縫い上がった直線,テロップ「ミシン」,3-5秒,完成パーツ,同上,未撮影
DAY2,向島工房,③工程ASMR 5本目,手縫い,③-5a,MACRO,[起]糸にロウを引く音,冒頭2秒で音を立てる。BGMなし,0-2秒,職人の手,固定三脚・9:16・ショットガンマイク15cm以内,未撮影
DAY2,向島工房,③工程ASMR 5本目,手縫い,③-5b,MACRO,[承]2本の針が交差する,工程の音だけ,30秒,職人の手,同上（カメラ固定のまま）,未撮影
DAY2,向島工房,③工程ASMR 5本目,手縫い,③-5c,MACRO,[結]縫い目のアップ,テロップ「手縫い」,3-5秒,完成パーツ,同上,未撮影
DAY2,向島工房,③工程ASMR 6本目,目止め,③-6a,ECU,[起]床面に液を落とす音,冒頭2秒で音を立てる。BGMなし,0-2秒,職人の手,固定三脚・9:16・ショットガンマイク15cm以内,未撮影
DAY2,向島工房,③工程ASMR 6本目,目止め,③-6b,ECU,[承]ガラス板で擦る。毛羽が寝ていく,工程の音だけ,20秒,職人の手,同上（カメラ固定のまま）,未撮影
DAY2,向島工房,③工程ASMR 6本目,目止め,③-6c,ECU,[結]光を反射する床面,テロップ「目止め」,3-5秒,完成パーツ,同上,未撮影
DAY2,向島工房,③工程ASMR 7本目,コバ磨き,③-7a,MACRO,[起]染料を布に含ませる音,冒頭2秒で音を立てる。BGMなし,0-2秒,職人の手,固定三脚・9:16・ショットガンマイク15cm以内,未撮影
DAY2,向島工房,③工程ASMR 7本目,コバ磨き,③-7b,MACRO,[承]断面を往復して擦る,工程の音だけ,30秒,職人の手,同上（カメラ固定のまま）,未撮影
DAY2,向島工房,③工程ASMR 7本目,コバ磨き,③-7c,MACRO,[結]断面が艶を持つ,テロップ「コバ磨き」,3-5秒,完成パーツ,同上,未撮影
DAY2,向島工房,②OEM工房案内,承／対応技法,②-4,CU 寄り,金型が置かれ、裁断機が下りる,テロップ「金型裁断」,0:25-0:38,職人の手,③と同ポジションで流用可,未撮影
DAY2,向島工房,②OEM工房案内,承／対応技法,②-5,ECU 超寄り,革包丁で細部を切る,テロップ「手裁断」,0:38-0:50,職人の手,③と同ポジションで流用可,未撮影
DAY2,向島工房,②OEM工房案内,承／対応技法,②-6,PROFILE,ミシンで縫製する,テロップ「機械縫製」,0:50-1:05,職人の手,③と同ポジションで流用可,未撮影
DAY2,向島工房,②OEM工房案内,承／対応技法,②-7,MACRO,手縫い。2本の針が交差する,テロップ「手縫い」,1:05-1:20,職人の手,③と同ポジションで流用可,未撮影
DAY2,向島工房,②OEM工房案内,承／対応技法,②-8,ECU 超寄り,目止め、そして断面を磨く,テロップ「切り目コバ磨き　全工程の40%」,1:20-1:35,職人の手,③と同ポジションで流用可,未撮影
DAY3,向島工房,①コーポレート,オープニング,①-1,ECU/MACRO/EDIT/HIGH,刻印が押されロゴが革に沈む。窪みに光。引くと工房の全景,押される音だけ→環境音とBGM,0:00-0:25,職人の手／刻印機／梱包資材,俯瞰スタンド・小型アクションカメラ（⑨-4）,未撮影
DAY3,向島工房,①コーポレート,検品,①-5,CU,職人が縫い目と断面を目で確かめる,作業音が消える,1:28-1:36,職人の手／刻印機／梱包資材,俯瞰スタンド・小型アクションカメラ（⑨-4）,未撮影
DAY3,向島工房,①コーポレート,梱包,①-6,BIRD,不織布で包まれ、箱に納まり、紐が結ばれる,紙の音、紐を引く音,1:36-1:44,職人の手／刻印機／梱包資材,俯瞰スタンド・小型アクションカメラ（⑨-4）,未撮影
DAY3,向島工房,②OEM工房案内,起,②-1,LOW ローアングル,工房の外観。看板と入口,街の音,0:00-0:08,職人の手／刻印機／梱包資材,俯瞰スタンド・小型アクションカメラ（⑨-4）,未撮影
DAY3,向島工房,②OEM工房案内,起,②-2,HIGH ハイアングル,工房の全景。設備と作業台が並ぶ,規模が分かる画角,0:08-0:18,職人の手／刻印機／梱包資材,俯瞰スタンド・小型アクションカメラ（⑨-4）,未撮影
DAY3,向島工房,②OEM工房案内,起,②-3,BIRD 真俯瞰,作業台に原反が広げられる,扱える革の大きさを示す,0:18-0:25,職人の手／刻印機／梱包資材,俯瞰スタンド・小型アクションカメラ（⑨-4）,未撮影
DAY3,向島工房,②OEM工房案内,転／検品,②-9,CU 寄り,職人が縫い目と断面を目で確かめる,最重要カット。作業音が消える,1:35-1:48,職人の手／刻印機／梱包資材,俯瞰スタンド・小型アクションカメラ（⑨-4）,未撮影
DAY3,向島工房,②OEM工房案内,転,②-10,BIRD 真俯瞰,検品済みの製品と道具が並ぶ,置く音,1:48-1:54,職人の手／刻印機／梱包資材,俯瞰スタンド・小型アクションカメラ（⑨-4）,未撮影
DAY3,向島工房,②OEM工房案内,転,②-11,BIRD 真俯瞰,梱包され、箱詰めされる,紙とテープの音,1:54-2:00,職人の手／刻印機／梱包資材,俯瞰スタンド・小型アクションカメラ（⑨-4）,未撮影
DAY3,向島工房,⑨梱包から受け取り,起,⑨-1,CU 寄り,刻印が押され、名前が革に沈む,圧の音,0-3秒,職人の手／刻印機／梱包資材,俯瞰スタンド・小型アクションカメラ（⑨-4）,未撮影
DAY3,向島工房,⑨梱包から受け取り,起,⑨-2,BIRD 真俯瞰,不織布で包まれ、角が折られ、紐が結ばれる,紙の音。ここからカメラを動かさない,3-7秒,職人の手／刻印機／梱包資材,俯瞰スタンド・小型アクションカメラ（⑨-4）,未撮影
DAY3,向島工房,⑨梱包から受け取り,承,⑨-3,BIRD 真俯瞰,包装紙とリボンの色が次々に切り替わる,同じ手つき、同じ位置、色だけが変わる,7-12秒,職人の手／刻印機／梱包資材,俯瞰スタンド・小型アクションカメラ（⑨-4）,未撮影
DAY3,向島工房,⑨梱包から受け取り,転,⑨-4,POV 主観,商品の目線。蓋が閉じられ視界が塞がれる,蓋の音。画面が黒く落ちる,12-15秒,職人の手／刻印機／梱包資材,俯瞰スタンド・小型アクションカメラ（⑨-4）,未撮影
DAY3,向島工房,⑨梱包から受け取り,転,⑨-5,ABSTRACT,完全な暗転,無音の1秒,15-18秒,職人の手／刻印機／梱包資材,俯瞰スタンド・小型アクションカメラ（⑨-4）,未撮影
DAY4,スタジオ（物撮り）,④実測動画／ロワイヤルMトート,起承結,④-ロワイ-1,BIRD 真俯瞰,何も入っていない本体が1つ置かれている,無音。テロップで品名,0-2秒,ロワイヤルMトート・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,④実測動画／ロワイヤルMトート,起承結,④-ロワイ-2,FS 全身,人の隣に置き、肩にかける（Lジップは手に持つ）,人と並べないと大きさは伝わらない,2-5秒,ロワイヤルMトート・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,④実測動画／ロワイヤルMトート,起承結,④-ロワイ-3,MS 中景,A4書類を入れる（Lジップは札を入れる）,入る瞬間を止めずに撮る,5-9秒,ロワイヤルMトート・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,④実測動画／ロワイヤルMトート,起承結,④-ロワイ-4,OTS,肩越しにノートPCを入れる（Lジップはカードを入れる）,使う人の視点に近づける,9-13秒,ロワイヤルMトート・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,④実測動画／ロワイヤルMトート,起承結,④-ロワイ-5,BIRD 真俯瞰,内ポケットに名刺入れ・鍵・携帯を配置,整理された状態を見せる,13-16秒,ロワイヤルMトート・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,④実測動画／ロワイヤルMトート,起承結,④-ロワイ-6,CU 寄り,秤に載せる。重量の数字が読める,表示にピント,16-18秒,ロワイヤルMトート・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,④実測動画／ロワイヤルMトート,起承結,④-ロワイ-7,ECU 超寄り,ファスナーの開閉（YKK EXCELLA）,金具の音,18-21秒,ロワイヤルMトート・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,④実測動画／ロワイヤルMトート,起承結,④-ロワイ-8,LOW ローアングル,持って歩き出す足元から見上げる,ここだけ動きを入れる,21-23秒,ロワイヤルMトート・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,④実測動画／ロワイヤルMトート,起承結,④-ロワイ-9,EDIT 編集,テロップ「返品送料無料／分割払い可」,最後に不安を消して終わる,23-25秒,ロワイヤルMトート・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,④実測動画／ベルシートート,起承結,④-ベルシ-1,BIRD 真俯瞰,何も入っていない本体が1つ置かれている,無音。テロップで品名,0-2秒,ベルシートート・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,④実測動画／ベルシートート,起承結,④-ベルシ-2,FS 全身,人の隣に置き、肩にかける（Lジップは手に持つ）,人と並べないと大きさは伝わらない,2-5秒,ベルシートート・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,④実測動画／ベルシートート,起承結,④-ベルシ-3,MS 中景,A4書類を入れる（Lジップは札を入れる）,入る瞬間を止めずに撮る,5-9秒,ベルシートート・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,④実測動画／ベルシートート,起承結,④-ベルシ-4,OTS,肩越しにノートPCを入れる（Lジップはカードを入れる）,使う人の視点に近づける,9-13秒,ベルシートート・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,④実測動画／ベルシートート,起承結,④-ベルシ-5,BIRD 真俯瞰,内ポケットに名刺入れ・鍵・携帯を配置,整理された状態を見せる,13-16秒,ベルシートート・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,④実測動画／ベルシートート,起承結,④-ベルシ-6,CU 寄り,秤に載せる。重量の数字が読める,表示にピント,16-18秒,ベルシートート・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,④実測動画／ベルシートート,起承結,④-ベルシ-7,ECU 超寄り,ファスナーの開閉（YKK EXCELLA）,金具の音,18-21秒,ベルシートート・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,④実測動画／ベルシートート,起承結,④-ベルシ-8,LOW ローアングル,持って歩き出す足元から見上げる,ここだけ動きを入れる,21-23秒,ベルシートート・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,④実測動画／ベルシートート,起承結,④-ベルシ-9,EDIT 編集,テロップ「返品送料無料／分割払い可」,最後に不安を消して終わる,23-25秒,ベルシートート・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,④実測動画／Lジップ,起承結,④-Lジッ-1,BIRD 真俯瞰,何も入っていない本体が1つ置かれている,無音。テロップで品名,0-2秒,Lジップ・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,④実測動画／Lジップ,起承結,④-Lジッ-2,FS 全身,人の隣に置き、肩にかける（Lジップは手に持つ）,人と並べないと大きさは伝わらない,2-5秒,Lジップ・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,④実測動画／Lジップ,起承結,④-Lジッ-3,MS 中景,A4書類を入れる（Lジップは札を入れる）,入る瞬間を止めずに撮る,5-9秒,Lジップ・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,④実測動画／Lジップ,起承結,④-Lジッ-4,OTS,肩越しにノートPCを入れる（Lジップはカードを入れる）,使う人の視点に近づける,9-13秒,Lジップ・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,④実測動画／Lジップ,起承結,④-Lジッ-5,BIRD 真俯瞰,内ポケットに名刺入れ・鍵・携帯を配置,整理された状態を見せる,13-16秒,Lジップ・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,④実測動画／Lジップ,起承結,④-Lジッ-6,CU 寄り,秤に載せる。重量の数字が読める,表示にピント,16-18秒,Lジップ・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,④実測動画／Lジップ,起承結,④-Lジッ-7,ECU 超寄り,ファスナーの開閉（YKK EXCELLA）,金具の音,18-21秒,Lジップ・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,④実測動画／Lジップ,起承結,④-Lジッ-8,LOW ローアングル,持って歩き出す足元から見上げる,ここだけ動きを入れる,21-23秒,Lジップ・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,④実測動画／Lジップ,起承結,④-Lジッ-9,EDIT 編集,テロップ「返品送料無料／分割払い可」,最後に不安を消して終わる,23-25秒,Lジップ・モデル1名,定点2台・秤・A4/ノートPC・レフ板,未撮影
DAY4,スタジオ（物撮り）,⑧色合わせ 1本目,春・淡いリネン,⑧-1a,BIRD 真俯瞰（固定）,服の上に定番色（こげ茶）の革小物を置く,テロップ「この色でも、いい。」,0-5秒,春・淡いリネンの服＋こげ茶の小物,俯瞰スタンド固定・9:16。6本とも同一高さ・同一照明,未撮影
DAY4,スタジオ（物撮り）,⑧色合わせ 1本目,春・淡いリネン,⑧-1b,BIRD 真俯瞰（固定のまま）,手が入り、定番色を華やかな色（淡グリーン＋生成）に入れ替える,入れ替える音。テロップ「でも——」,5-13秒,淡グリーン＋生成の小物3〜4点,カメラも服も一切動かさない。1カットで撮る,未撮影
DAY4,スタジオ（物撮り）,⑧色合わせ 1本目,春・淡いリネン,⑧-1c,BIRD → 寄り,華やかな色で揃ったコーデ全体から1点に寄る,テロップ「こげ茶でも、いい。でも、春は淡いグリーン。」,13-20秒,淡グリーン＋生成の小物1点,同上,未撮影
DAY4,スタジオ（物撮り）,⑧色合わせ 2本目,初夏・白シャツ,⑧-2a,BIRD 真俯瞰（固定）,服の上に定番色（ブラック）の革小物を置く,テロップ「この色でも、いい。」,0-5秒,初夏・白シャツの服＋ブラックの小物,俯瞰スタンド固定・9:16。6本とも同一高さ・同一照明,未撮影
DAY4,スタジオ（物撮り）,⑧色合わせ 2本目,初夏・白シャツ,⑧-2b,BIRD 真俯瞰（固定のまま）,手が入り、定番色を華やかな色（ターコイズ＋レッド）に入れ替える,入れ替える音。テロップ「でも——」,5-13秒,ターコイズ＋レッドの小物3〜4点,カメラも服も一切動かさない。1カットで撮る,未撮影
DAY4,スタジオ（物撮り）,⑧色合わせ 2本目,初夏・白シャツ,⑧-2c,BIRD → 寄り,華やかな色で揃ったコーデ全体から1点に寄る,テロップ「黒でも、いい。でも、白にはこの色。」,13-20秒,ターコイズ＋レッドの小物1点,同上,未撮影
DAY4,スタジオ（物撮り）,⑧色合わせ 3本目,夏・デニム,⑧-3a,BIRD 真俯瞰（固定）,服の上に定番色（ネイビー）の革小物を置く,テロップ「この色でも、いい。」,0-5秒,夏・デニムの服＋ネイビーの小物,俯瞰スタンド固定・9:16。6本とも同一高さ・同一照明,未撮影
DAY4,スタジオ（物撮り）,⑧色合わせ 3本目,夏・デニム,⑧-3b,BIRD 真俯瞰（固定のまま）,手が入り、定番色を華やかな色（キャメル＋オレンジ）に入れ替える,入れ替える音。テロップ「でも——」,5-13秒,キャメル＋オレンジの小物3〜4点,カメラも服も一切動かさない。1カットで撮る,未撮影
DAY4,スタジオ（物撮り）,⑧色合わせ 3本目,夏・デニム,⑧-3c,BIRD → 寄り,華やかな色で揃ったコーデ全体から1点に寄る,テロップ「ネイビーでも、いい。でも、デニムにはキャメル。」,13-20秒,キャメル＋オレンジの小物1点,同上,未撮影
DAY4,スタジオ（物撮り）,⑧色合わせ 4本目,秋・ツイード,⑧-4a,BIRD 真俯瞰（固定）,服の上に定番色（ダークブラウン）の革小物を置く,テロップ「この色でも、いい。」,0-5秒,秋・ツイードの服＋ダークブラウンの小物,俯瞰スタンド固定・9:16。6本とも同一高さ・同一照明,未撮影
DAY4,スタジオ（物撮り）,⑧色合わせ 4本目,秋・ツイード,⑧-4b,BIRD 真俯瞰（固定のまま）,手が入り、定番色を華やかな色（グリーン＋マスタード）に入れ替える,入れ替える音。テロップ「でも——」,5-13秒,グリーン＋マスタードの小物3〜4点,カメラも服も一切動かさない。1カットで撮る,未撮影
DAY4,スタジオ（物撮り）,⑧色合わせ 4本目,秋・ツイード,⑧-4c,BIRD → 寄り,華やかな色で揃ったコーデ全体から1点に寄る,テロップ「茶でも、いい。でも、グリーンにすると。」,13-20秒,グリーン＋マスタードの小物1点,同上,未撮影
DAY4,スタジオ（物撮り）,⑧色合わせ 5本目,冬・ウールコート,⑧-5a,BIRD 真俯瞰（固定）,服の上に定番色（グレー）の革小物を置く,テロップ「この色でも、いい。」,0-5秒,冬・ウールコートの服＋グレーの小物,俯瞰スタンド固定・9:16。6本とも同一高さ・同一照明,未撮影
DAY4,スタジオ（物撮り）,⑧色合わせ 5本目,冬・ウールコート,⑧-5b,BIRD 真俯瞰（固定のまま）,手が入り、定番色を華やかな色（ボルドー＋パープル）に入れ替える,入れ替える音。テロップ「でも——」,5-13秒,ボルドー＋パープルの小物3〜4点,カメラも服も一切動かさない。1カットで撮る,未撮影
DAY4,スタジオ（物撮り）,⑧色合わせ 5本目,冬・ウールコート,⑧-5c,BIRD → 寄り,華やかな色で揃ったコーデ全体から1点に寄る,テロップ「グレーでも、いい。でも、冬はボルドー。」,13-20秒,ボルドー＋パープルの小物1点,同上,未撮影
DAY4,スタジオ（物撮り）,⑧色合わせ 6本目,通年・黒スーツ,⑧-6a,BIRD 真俯瞰（固定）,服の上に定番色（ブラック）の革小物を置く,テロップ「この色でも、いい。」,0-5秒,通年・黒スーツの服＋ブラックの小物,俯瞰スタンド固定・9:16。6本とも同一高さ・同一照明,未撮影
DAY4,スタジオ（物撮り）,⑧色合わせ 6本目,通年・黒スーツ,⑧-6b,BIRD 真俯瞰（固定のまま）,手が入り、定番色を華やかな色（ダークブラウン＋ボルドー）に入れ替える,入れ替える音。テロップ「でも——」,5-13秒,ダークブラウン＋ボルドーの小物3〜4点,カメラも服も一切動かさない。1カットで撮る,未撮影
DAY4,スタジオ（物撮り）,⑧色合わせ 6本目,通年・黒スーツ,⑧-6c,BIRD → 寄り,華やかな色で揃ったコーデ全体から1点に寄る,テロップ「黒に黒でも、いい。でも、少しだけ色を。」,13-20秒,ダークブラウン＋ボルドーの小物1点,同上,未撮影
DAY5,ロケ（街・オフィス）,①コーポレート,日常,①-8,LS / EDIT,仕事で使っている。駅かオフィス。最後にロゴ・拠点・サイトURL,街の音→BGM終わり,1:52-2:00,モデル1名,ジンバル・NDフィルター,未撮影
DAY5,ロケ（街・オフィス）,⑦買い足し／ネイビー,起,⑦-1,LS 引き,朝の通勤。歩く後ろ姿。上着は薄手,街の音,0-5秒,モデル1名（薄手の上着）,三脚位置をメジャーで実測し記録,未撮影
DAY5,ロケ（街・オフィス）,⑦買い足し／ネイビー,起,⑦-2,CU 寄り,ポケットから財布を出して支払う,財布1点だけの状態,5-10秒,ネイビーの財布,同上,未撮影
DAY5,ロケ（街・オフィス）,⑦買い足し／ブラウン,起,⑦-1,LS 引き,朝の通勤。歩く後ろ姿。上着は薄手,街の音,0-5秒,モデル1名（薄手の上着）,三脚位置をメジャーで実測し記録,未撮影
DAY5,ロケ（街・オフィス）,⑦買い足し／ブラウン,起,⑦-2,CU 寄り,ポケットから財布を出して支払う,財布1点だけの状態,5-10秒,ブラウンの財布,同上,未撮影
DAY5,ロケ（街・オフィス）,⑦買い足し／グリーン,起,⑦-1,LS 引き,朝の通勤。歩く後ろ姿。上着は薄手,街の音,0-5秒,モデル1名（薄手の上着）,三脚位置をメジャーで実測し記録,未撮影
DAY5,ロケ（街・オフィス）,⑦買い足し／グリーン,起,⑦-2,CU 寄り,ポケットから財布を出して支払う,財布1点だけの状態,5-10秒,グリーンの財布,同上,未撮影
DAY6,ロケ（街・オフィス）,⑦買い足し／ネイビー,承,⑦-3,LS 引き,別の日。同じ道、同じ画角。上着が変わっている,服装で時間の経過を見せる,10-14秒,モデル1名（上着変更）,DAY5と同一三脚位置（実測値を再現）,未撮影
DAY6,ロケ（街・オフィス）,⑦買い足し／ネイビー,承,⑦-4,ECU 超寄り,名刺入れを取り出して渡す,2点目が加わる,14-19秒,ネイビーの名刺入れ,同上,未撮影
DAY6,ロケ（街・オフィス）,⑦買い足し／ブラウン,承,⑦-3,LS 引き,別の日。同じ道、同じ画角。上着が変わっている,服装で時間の経過を見せる,10-14秒,モデル1名（上着変更）,DAY5と同一三脚位置（実測値を再現）,未撮影
DAY6,ロケ（街・オフィス）,⑦買い足し／ブラウン,承,⑦-4,ECU 超寄り,名刺入れを取り出して渡す,2点目が加わる,14-19秒,ブラウンの名刺入れ,同上,未撮影
DAY6,ロケ（街・オフィス）,⑦買い足し／グリーン,承,⑦-3,LS 引き,別の日。同じ道、同じ画角。上着が変わっている,服装で時間の経過を見せる,10-14秒,モデル1名（上着変更）,DAY5と同一三脚位置（実測値を再現）,未撮影
DAY6,ロケ（街・オフィス）,⑦買い足し／グリーン,承,⑦-4,ECU 超寄り,名刺入れを取り出して渡す,2点目が加わる,14-19秒,グリーンの名刺入れ,同上,未撮影
DAY7,ロケ（街・オフィス）,⑦買い足し／ネイビー,転・結,⑦-5,LS 引き,さらに別の日。コートを着ている,同じ道、違う季節,19-23秒,モデル1名（コート）,DAY5と同一三脚位置／室内は俯瞰スタンド,未撮影
DAY7,ロケ（街・オフィス）,⑦買い足し／ネイビー,転・結,⑦-6,WORM ワームズアイ,鍵を取り出して扉を開ける。足元から,3点目,23-27秒,ネイビーのキーケース,DAY5と同一三脚位置／室内は俯瞰スタンド,未撮影
DAY7,ロケ（街・オフィス）,⑦買い足し／ネイビー,転・結,⑦-7,FS 全身,バッグを肩にかけて歩く,4点目。ここで揃う,27-32秒,ネイビーのバッグ,DAY5と同一三脚位置／室内は俯瞰スタンド,未撮影
DAY7,ロケ（街・オフィス）,⑦買い足し／ネイビー,転・結,⑦-8,BIRD 真俯瞰,帰宅。テーブルに4点を置いていく,置く音が4回,32-40秒,4点セット,DAY5と同一三脚位置／室内は俯瞰スタンド,未撮影
DAY7,ロケ（街・オフィス）,⑦買い足し／ネイビー,転・結,⑦-9,MACRO,最初の財布だけ、色が深くなっている,無音に近づける,40-46秒,経年した財布（別個体を用意）,DAY5と同一三脚位置／室内は俯瞰スタンド,未撮影
DAY7,ロケ（街・オフィス）,⑦買い足し／ネイビー,転・結,⑦-10,EDIT 編集,テロップ「気づけば、四点。」,BGMが締まる,46-50秒,-,DAY5と同一三脚位置／室内は俯瞰スタンド,未撮影
DAY7,ロケ（街・オフィス）,⑦買い足し／ブラウン,転・結,⑦-5,LS 引き,さらに別の日。コートを着ている,同じ道、違う季節,19-23秒,モデル1名（コート）,DAY5と同一三脚位置／室内は俯瞰スタンド,未撮影
DAY7,ロケ（街・オフィス）,⑦買い足し／ブラウン,転・結,⑦-6,WORM ワームズアイ,鍵を取り出して扉を開ける。足元から,3点目,23-27秒,ブラウンのキーケース,DAY5と同一三脚位置／室内は俯瞰スタンド,未撮影
DAY7,ロケ（街・オフィス）,⑦買い足し／ブラウン,転・結,⑦-7,FS 全身,バッグを肩にかけて歩く,4点目。ここで揃う,27-32秒,ブラウンのバッグ,DAY5と同一三脚位置／室内は俯瞰スタンド,未撮影
DAY7,ロケ（街・オフィス）,⑦買い足し／ブラウン,転・結,⑦-8,BIRD 真俯瞰,帰宅。テーブルに4点を置いていく,置く音が4回,32-40秒,4点セット,DAY5と同一三脚位置／室内は俯瞰スタンド,未撮影
